valence	probability	reference	sub_valence	sub_probability
1	1	1	1	99
1	1	0	70	55
1	1	1	50	100
1	1	0	19	44
1	1	1	50	50
1	1	1	100	50
1	1	1	50	20
1	1	1	100	0
1	1	1	88	22
1	1	1	50	100
1	1	1	70	60
1	1	1	79	63
1	1	1	58	42
1	0	1	86	12
1	0	0	80	100
1	0	1	65	25
1	0	0	1	0
1	0	0	74	55
1	0	1	50	74
1	0	1	100	85
1	0	1	100	70
1	0	0	100	10
1	0	0	54	29
1	0	1	92	100
1	0	1	13	68
1	0	1	100	25
1	0	0	85	35
1	0	0	86	85
1	0	0	22	50
0	1	0	0	5
0	1	1	95	5
0	1	0	52	52
0	1	1	56	54
0	1	0	0	0
0	1	1	0	0
0	1	0	0	0
0	1	0	1	1
0	1	1	0	100
0	1	1	10	80
0	1	0	20	80
0	1	0	3	10
0	1	1	25	66
0	1	0	0	0
0	0	0	50	26
0	0	0	0	0
0	0	0	6	32
0	0	0	0	0
0	0	0	0	0
0	0	0	40	80
0	0	0	9	100
0	0	0	30	9
0	0	0	0	0
0	0	1	0	80
0	0	0	0	0
0	0	0	2	2
0	0	0	1	6
0	0	0	2	3
0	0	1	0	100
0	0	0	0	0
